category,session,fold,image_path,mask_path,source_recording,source_frame_suffix,acquisition_fps_hz,transformation
cropped,251018_5213_Purple_awake pupil recording,cv4,sample_data/labeled_frames/251018_5213_Purple_awake pupil recording/images/251018_5213_Purple_awake pupil recording_2025-10-18T13-47-06.854_00127.png,sample_data/labeled_frames/251018_5213_Purple_awake pupil recording/masks/251018_5213_Purple_awake pupil recording_2025-10-18T13-47-06.854_00127.png,251018_5213_Purple_awake pupil recording_2025-10-18T13-47-06.854,00127,,copied_unchanged_hand_curated_crop
cropped,HQL073_250515,cv3,sample_data/labeled_frames/HQL073_250515/images/HQL073_250515_002_eye_19699.png,sample_data/labeled_frames/HQL073_250515/masks/HQL073_250515_002_eye_19699.png,HQL073_250515_002_eye,19699,,copied_unchanged_hand_curated_crop
cropped,HQL073_250515,cv3,sample_data/labeled_frames/HQL073_250515/images/HQL073_250515_002_eye_36845.png,sample_data/labeled_frames/HQL073_250515/masks/HQL073_250515_002_eye_36845.png,HQL073_250515_002_eye,36845,,copied_unchanged_hand_curated_crop
cropped,HQL073_250515,cv3,sample_data/labeled_frames/HQL073_250515/images/HQL073_250515_004_eye_45595.png,sample_data/labeled_frames/HQL073_250515/masks/HQL073_250515_004_eye_45595.png,HQL073_250515_004_eye,45595,,copied_unchanged_hand_curated_crop
cropped,HQL080_sleep250625,cv1,sample_data/labeled_frames/HQL080_sleep250625/images/HQL080_sleep250625_003_eye_11980.png,sample_data/labeled_frames/HQL080_sleep250625/masks/HQL080_sleep250625_003_eye_11980.png,HQL080_sleep250625_003_eye,11980,,copied_unchanged_hand_curated_crop
cropped,HQL080_sleep250625,cv1,sample_data/labeled_frames/HQL080_sleep250625/images/HQL080_sleep250625_003_eye_15066.png,sample_data/labeled_frames/HQL080_sleep250625/masks/HQL080_sleep250625_003_eye_15066.png,HQL080_sleep250625_003_eye,15066,,copied_unchanged_hand_curated_crop
cropped,HQL080_sleep250625,cv1,sample_data/labeled_frames/HQL080_sleep250625/images/HQL080_sleep250625_003_eye_34448.png,sample_data/labeled_frames/HQL080_sleep250625/masks/HQL080_sleep250625_003_eye_34448.png,HQL080_sleep250625_003_eye,34448,,copied_unchanged_hand_curated_crop
cropped,HQL080_sleep250625,cv1,sample_data/labeled_frames/HQL080_sleep250625/images/HQL080_sleep250625_003_eye_34505.png,sample_data/labeled_frames/HQL080_sleep250625/masks/HQL080_sleep250625_003_eye_34505.png,HQL080_sleep250625_003_eye,34505,,copied_unchanged_hand_curated_crop
cropped,HQL080_sleep250625,cv1,sample_data/labeled_frames/HQL080_sleep250625/images/HQL080_sleep250625_003_eye_39360.png,sample_data/labeled_frames/HQL080_sleep250625/masks/HQL080_sleep250625_003_eye_39360.png,HQL080_sleep250625_003_eye,39360,,copied_unchanged_hand_curated_crop
cropped,HQL080_sleep250625,cv1,sample_data/labeled_frames/HQL080_sleep250625/images/HQL080_sleep250625_003_eye_48292.png,sample_data/labeled_frames/HQL080_sleep250625/masks/HQL080_sleep250625_003_eye_48292.png,HQL080_sleep250625_003_eye,48292,,copied_unchanged_hand_curated_crop
cropped,HQL086_sleep250909,cv2,sample_data/labeled_frames/HQL086_sleep250909/images/HQL086_sleep250909_011_eye_22730.png,sample_data/labeled_frames/HQL086_sleep250909/masks/HQL086_sleep250909_011_eye_22730.png,HQL086_sleep250909_011_eye,22730,,copied_unchanged_hand_curated_crop
cropped,HQL086_sleep250909,cv2,sample_data/labeled_frames/HQL086_sleep250909/images/HQL086_sleep250909_011_eye_29786.png,sample_data/labeled_frames/HQL086_sleep250909/masks/HQL086_sleep250909_011_eye_29786.png,HQL086_sleep250909_011_eye,29786,,copied_unchanged_hand_curated_crop
cropped,HQL086_sleep250909,cv2,sample_data/labeled_frames/HQL086_sleep250909/images/HQL086_sleep250909_011_eye_57658.png,sample_data/labeled_frames/HQL086_sleep250909/masks/HQL086_sleep250909_011_eye_57658.png,HQL086_sleep250909_011_eye,57658,,copied_unchanged_hand_curated_crop
cropped,HQL086_whiskerb250923,cv1,sample_data/labeled_frames/HQL086_whiskerb250923/images/HQL086_whiskerb250923_005_eye_46658.png,sample_data/labeled_frames/HQL086_whiskerb250923/masks/HQL086_whiskerb250923_005_eye_46658.png,HQL086_whiskerb250923_005_eye,46658,,copied_unchanged_hand_curated_crop
cropped,HQL086_whiskerb250923,cv1,sample_data/labeled_frames/HQL086_whiskerb250923/images/HQL086_whiskerb250923_008_eye_50170.png,sample_data/labeled_frames/HQL086_whiskerb250923/masks/HQL086_whiskerb250923_008_eye_50170.png,HQL086_whiskerb250923_008_eye,50170,,copied_unchanged_hand_curated_crop
cropped,HQL090_sleep251012,cv4,sample_data/labeled_frames/HQL090_sleep251012/images/HQL090_sleep251012_010_eye_06588.png,sample_data/labeled_frames/HQL090_sleep251012/masks/HQL090_sleep251012_010_eye_06588.png,HQL090_sleep251012_010_eye,06588,,copied_unchanged_hand_curated_crop
cropped,HQL090_sleep251012,cv4,sample_data/labeled_frames/HQL090_sleep251012/images/HQL090_sleep251012_010_eye_06771.png,sample_data/labeled_frames/HQL090_sleep251012/masks/HQL090_sleep251012_010_eye_06771.png,HQL090_sleep251012_010_eye,06771,,copied_unchanged_hand_curated_crop
cropped,HQL090_sleep251012,cv4,sample_data/labeled_frames/HQL090_sleep251012/images/HQL090_sleep251012_010_eye_44600.png,sample_data/labeled_frames/HQL090_sleep251012/masks/HQL090_sleep251012_010_eye_44600.png,HQL090_sleep251012_010_eye,44600,,copied_unchanged_hand_curated_crop
cropped,HQL090_sleep251012,cv4,sample_data/labeled_frames/HQL090_sleep251012/images/HQL090_sleep251012_010_eye_49052.png,sample_data/labeled_frames/HQL090_sleep251012/masks/HQL090_sleep251012_010_eye_49052.png,HQL090_sleep251012_010_eye,49052,,copied_unchanged_hand_curated_crop
cropped,HQL090_whiskerb251020,cv4,sample_data/labeled_frames/HQL090_whiskerb251020/images/HQL090_whiskerb251020_006_eye_31417.png,sample_data/labeled_frames/HQL090_whiskerb251020/masks/HQL090_whiskerb251020_006_eye_31417.png,HQL090_whiskerb251020_006_eye,31417,,copied_unchanged_hand_curated_crop
cropped,HQL090_whiskerb251020,cv4,sample_data/labeled_frames/HQL090_whiskerb251020/images/HQL090_whiskerb251020_009_eye_15701.png,sample_data/labeled_frames/HQL090_whiskerb251020/masks/HQL090_whiskerb251020_009_eye_15701.png,HQL090_whiskerb251020_009_eye,15701,,copied_unchanged_hand_curated_crop
cropped,HQL090_whiskerb251020,cv4,sample_data/labeled_frames/HQL090_whiskerb251020/images/HQL090_whiskerb251020_009_eye_52558.png,sample_data/labeled_frames/HQL090_whiskerb251020/masks/HQL090_whiskerb251020_009_eye_52558.png,HQL090_whiskerb251020_009_eye,52558,,copied_unchanged_hand_curated_crop
unlabeled,,,sample_data/unlabeled_frames/recording_250530/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_00000.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,00000,,copied_unchanged_uncropped_frame
unlabeled,,,sample_data/unlabeled_frames/recording_250530/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_02500.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,02500,,copied_unchanged_uncropped_frame
unlabeled,,,sample_data/unlabeled_frames/recording_250530/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_05000.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,05000,,copied_unchanged_uncropped_frame
unlabeled,,,sample_data/unlabeled_frames/recording_250616/250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_00000.png,,250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701,00000,,copied_unchanged_uncropped_frame
unlabeled,,,sample_data/unlabeled_frames/recording_250616/250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_02070.png,,250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701,02070,,copied_unchanged_uncropped_frame
unlabeled,,,sample_data/unlabeled_frames/recording_250616/250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_04141.png,,250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701,04141,,copied_unchanged_uncropped_frame
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07212.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07212,97,grayscale_resize_with_pad_148
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07213.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07213,97,grayscale_resize_with_pad_148
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07214.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07214,97,grayscale_resize_with_pad_148
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07215.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07215,97,grayscale_resize_with_pad_148
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07216.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07216,97,grayscale_resize_with_pad_148
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07217.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07217,97,grayscale_resize_with_pad_148
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07218.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07218,97,grayscale_resize_with_pad_148
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07219.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07219,97,grayscale_resize_with_pad_148
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07220.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07220,97,grayscale_resize_with_pad_148
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07221.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07221,97,grayscale_resize_with_pad_148
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07222.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07222,97,grayscale_resize_with_pad_148
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07223.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07223,97,grayscale_resize_with_pad_148
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07224.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07224,97,grayscale_resize_with_pad_148
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07225.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07225,97,grayscale_resize_with_pad_148
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07226.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07226,97,grayscale_resize_with_pad_148
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07227.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07227,97,grayscale_resize_with_pad_148
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07228.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07228,97,grayscale_resize_with_pad_148
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07229.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07229,97,grayscale_resize_with_pad_148
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07230.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07230,97,grayscale_resize_with_pad_148
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07231.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07231,97,grayscale_resize_with_pad_148
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07232.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07232,97,grayscale_resize_with_pad_148
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07233.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07233,97,grayscale_resize_with_pad_148
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07234.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07234,97,grayscale_resize_with_pad_148
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07235.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07235,97,grayscale_resize_with_pad_148
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07236.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07236,97,grayscale_resize_with_pad_148
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07237.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07237,97,grayscale_resize_with_pad_148
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07238.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07238,97,grayscale_resize_with_pad_148
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07239.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07239,97,grayscale_resize_with_pad_148
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07240.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07240,97,grayscale_resize_with_pad_148
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07241.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07241,97,grayscale_resize_with_pad_148
velocity,,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07242.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07242,97,grayscale_resize_with_pad_148
