category,split,image_path,mask_path,source_recording,source_frame_suffix,acquisition_fps_hz,transformation
raw,,sample_data/raw_frames/recording_250616/250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_00000.png,,250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701,00000,,copied_unchanged_uncropped_frame
raw,,sample_data/raw_frames/recording_250616/250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_02070.png,,250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701,02070,,copied_unchanged_uncropped_frame
raw,,sample_data/raw_frames/recording_250616/250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_04141.png,,250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701,04141,,copied_unchanged_uncropped_frame
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07212.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07212,97,grayscale_resize_with_pad_148
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07213.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07213,97,grayscale_resize_with_pad_148
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07214.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07214,97,grayscale_resize_with_pad_148
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07215.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07215,97,grayscale_resize_with_pad_148
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07216.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07216,97,grayscale_resize_with_pad_148
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07217.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07217,97,grayscale_resize_with_pad_148
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07218.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07218,97,grayscale_resize_with_pad_148
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07219.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07219,97,grayscale_resize_with_pad_148
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07220.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07220,97,grayscale_resize_with_pad_148
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07221.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07221,97,grayscale_resize_with_pad_148
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07222.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07222,97,grayscale_resize_with_pad_148
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07223.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07223,97,grayscale_resize_with_pad_148
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07224.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07224,97,grayscale_resize_with_pad_148
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07225.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07225,97,grayscale_resize_with_pad_148
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07226.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07226,97,grayscale_resize_with_pad_148
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07227.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07227,97,grayscale_resize_with_pad_148
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07228.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07228,97,grayscale_resize_with_pad_148
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07229.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07229,97,grayscale_resize_with_pad_148
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07230.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07230,97,grayscale_resize_with_pad_148
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07231.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07231,97,grayscale_resize_with_pad_148
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07232.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07232,97,grayscale_resize_with_pad_148
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07233.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07233,97,grayscale_resize_with_pad_148
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07234.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07234,97,grayscale_resize_with_pad_148
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07235.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07235,97,grayscale_resize_with_pad_148
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07236.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07236,97,grayscale_resize_with_pad_148
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07237.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07237,97,grayscale_resize_with_pad_148
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07238.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07238,97,grayscale_resize_with_pad_148
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07239.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07239,97,grayscale_resize_with_pad_148
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07240.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07240,97,grayscale_resize_with_pad_148
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07241.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07241,97,grayscale_resize_with_pad_148
velocity,,sample_data/velocity_frames/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_07242.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,07242,97,grayscale_resize_with_pad_148
