key,session
250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_39382,250530_5003_Green_Training_very_dm_light
250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_40061,250530_5003_Green_Training_very_dm_light
250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_40643,250530_5003_Green_Training_very_dm_light
250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_47918,250530_5003_Green_Training_very_dm_light
250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_48597,250530_5003_Green_Training_very_dm_light
250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_4947,250530_5003_Green_Training_very_dm_light
250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_55193,250530_5003_Green_Training_very_dm_light
250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_57618,250530_5003_Green_Training_very_dm_light
250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_60431,250530_5003_Green_Training_very_dm_light
250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_6402,250530_5003_Green_Training_very_dm_light
250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_67706,250530_5003_Green_Training_very_dm_light
250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_6790,250530_5003_Green_Training_very_dm_light
250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_77600,250530_5003_Green_Training_very_dm_light
250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_80413,250530_5003_Green_Training_very_dm_light
250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_81965,250530_5003_Green_Training_very_dm_light
250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_82547,250530_5003_Green_Training_very_dm_light
250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_83226,250530_5003_Green_Training_very_dm_light
250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_84196,250530_5003_Green_Training_very_dm_light
250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_85360,250530_5003_Green_Training_very_dm_light
250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_87106,250530_5003_Green_Training_very_dm_light
250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_9215,250530_5003_Green_Training_very_dm_light
250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_92441,250530_5003_Green_Training_very_dm_light
250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_92538,250530_5003_Green_Training_very_dm_light
250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_9312,250530_5003_Green_Training_very_dm_light
250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_9603,250530_5003_Green_Training_very_dm_light
250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_96418,250530_5003_Green_Training_very_dm_light
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_0000,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_0150,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_0360,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_0390,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_0450,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_0510,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_0960,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_1050,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_1290,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_15330,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_15480,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_15630,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_15720,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_16350,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_16680,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_17160,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_17700,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_18060,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_18570,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_19260,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_20610,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_21750,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_22230,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_3330,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_3570,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_4140,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_4860,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_5550,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_7230,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_9360,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_9420,250616_5120_Purple_sleep_trial_1
250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_9570,250616_5120_Purple_sleep_trial_1
251016_5212_purple_Day10_2025-10-16T17-14-56.825_00001,251016_5212_purple_Day10
251016_5212_purple_Day10_2025-10-16T17-14-56.825_00063,251016_5212_purple_Day10
251016_5212_purple_Day10_2025-10-16T17-14-56.825_00857,251016_5212_purple_Day10
251016_5212_purple_Day10_2025-10-16T17-14-56.825_00929,251016_5212_purple_Day10
251016_5212_purple_Day10_2025-10-16T17-14-56.825_01313,251016_5212_purple_Day10
251016_5212_purple_Day10_2025-10-16T17-14-56.825_01683,251016_5212_purple_Day10
251016_5212_purple_Day10_2025-10-16T17-14-56.825_01715,251016_5212_purple_Day10
251016_5212_purple_Day10_2025-10-16T17-14-56.825_1_00202,251016_5212_purple_Day10
251016_5212_purple_Day10_2025-10-16T17-14-56.825_1_00424,251016_5212_purple_Day10
251016_5212_purple_Day10_2025-10-16T17-14-56.825_1_00606,251016_5212_purple_Day10
251016_5212_purple_Day10_2025-10-16T17-14-56.825_1_01601,251016_5212_purple_Day10
251016_5212_purple_Day10_2025-10-16T17-14-56.825_1_01625,251016_5212_purple_Day10
251016_5212_purple_Day10_2025-10-16T17-14-56.825_1_01656,251016_5212_purple_Day10
251018_5213_Purple_awake pupil recording_2025-10-18T13-25-26.27_00001,251018_5213_Purple_awake pupil recording
251018_5213_Purple_awake pupil recording_2025-10-18T13-25-26.27_00018,251018_5213_Purple_awake pupil recording
251018_5213_Purple_awake pupil recording_2025-10-18T13-42-29.035_00002,251018_5213_Purple_awake pupil recording
251018_5213_Purple_awake pupil recording_2025-10-18T13-47-06.854_00006,251018_5213_Purple_awake pupil recording
251018_5213_Purple_awake pupil recording_2025-10-18T13-47-06.854_00127,251018_5213_Purple_awake pupil recording
HQL073_250515_002_eye_00452,HQL073_250515
HQL073_250515_002_eye_07236,HQL073_250515
HQL073_250515_002_eye_07404,HQL073_250515
HQL073_250515_002_eye_13867,HQL073_250515
HQL073_250515_002_eye_13873,HQL073_250515
HQL073_250515_002_eye_13882,HQL073_250515
HQL073_250515_002_eye_19699,HQL073_250515
HQL073_250515_002_eye_19701,HQL073_250515
HQL073_250515_002_eye_22134,HQL073_250515
HQL073_250515_002_eye_22900,HQL073_250515
HQL073_250515_002_eye_36845,HQL073_250515
HQL073_250515_002_eye_43066,HQL073_250515
HQL073_250515_002_eye_51689,HQL073_250515
HQL073_250515_004_eye_00384,HQL073_250515
HQL073_250515_004_eye_13842,HQL073_250515
HQL073_250515_004_eye_41850,HQL073_250515
HQL073_250515_004_eye_45361,HQL073_250515
HQL073_250515_004_eye_45595,HQL073_250515
HQL073_whisker250623_004_eye_54571,HQL073_whisker250623
HQL073_whisker250623_007_eye_60314,HQL073_whisker250623
HQL080_sleep250625_003_eye_07765,HQL080_sleep250625
HQL080_sleep250625_003_eye_10285,HQL080_sleep250625
HQL080_sleep250625_003_eye_11980,HQL080_sleep250625
HQL080_sleep250625_003_eye_15066,HQL080_sleep250625
HQL080_sleep250625_003_eye_15079,HQL080_sleep250625
HQL080_sleep250625_003_eye_21880,HQL080_sleep250625
HQL080_sleep250625_003_eye_24750,HQL080_sleep250625
HQL080_sleep250625_003_eye_34112,HQL080_sleep250625
HQL080_sleep250625_003_eye_34357,HQL080_sleep250625
HQL080_sleep250625_003_eye_34389,HQL080_sleep250625
HQL080_sleep250625_003_eye_34448,HQL080_sleep250625
HQL080_sleep250625_003_eye_34485,HQL080_sleep250625
HQL080_sleep250625_003_eye_34505,HQL080_sleep250625
HQL080_sleep250625_003_eye_39360,HQL080_sleep250625
HQL080_sleep250625_003_eye_48218,HQL080_sleep250625
HQL080_sleep250625_003_eye_48292,HQL080_sleep250625
HQL080_sleep250625_003_eye_50165,HQL080_sleep250625
HQL080_whiskerb_250722_007_eye_06622,HQL080_whiskerb_250722
HQL080_whiskerb_250722_007_eye_09773,HQL080_whiskerb_250722
HQL080_whiskerb_250722_007_eye_17969,HQL080_whiskerb_250722
HQL080_whiskerb_250722_007_eye_20500,HQL080_whiskerb_250722
HQL080_whiskerb_250722_007_eye_25934,HQL080_whiskerb_250722
HQL080_whiskerb_250722_007_eye_32966,HQL080_whiskerb_250722
HQL080_whiskerb_250722_007_eye_38166,HQL080_whiskerb_250722
HQL080_whiskerb_250722_007_eye_40592,HQL080_whiskerb_250722
HQL080_whiskerb_250722_007_eye_43662,HQL080_whiskerb_250722
HQL080_whiskerb_250722_007_eye_55059,HQL080_whiskerb_250722
HQL080_whiskerb_250722_010_eye_09775,HQL080_whiskerb_250722
HQL080_whiskerb_250722_010_eye_11160,HQL080_whiskerb_250722
HQL080_whiskerb_250722_010_eye_33899,HQL080_whiskerb_250722
HQL085_whiskerb250916_007_eye_14523,HQL085_whiskerb250916
HQL085_whiskerb250916_007_eye_45612,HQL085_whiskerb250916
HQL085_whiskerb250916_007_eye_48125,HQL085_whiskerb250916
HQL085_whiskerb250916_007_eye_58518,HQL085_whiskerb250916
HQL086_sleep250909_011_eye_03953,HQL086_sleep250909
HQL086_sleep250909_011_eye_08235,HQL086_sleep250909
HQL086_sleep250909_011_eye_22730,HQL086_sleep250909
HQL086_sleep250909_011_eye_25408,HQL086_sleep250909
HQL086_sleep250909_011_eye_29327,HQL086_sleep250909
HQL086_sleep250909_011_eye_29786,HQL086_sleep250909
HQL086_sleep250909_011_eye_30750,HQL086_sleep250909
HQL086_sleep250909_011_eye_56784,HQL086_sleep250909
HQL086_sleep250909_011_eye_57058,HQL086_sleep250909
HQL086_sleep250909_011_eye_57658,HQL086_sleep250909
HQL086_sleep250909_011_eye_60591,HQL086_sleep250909
HQL086_sleep250912_006_eye_00326,HQL086_sleep250912
HQL086_sleep250912_006_eye_01634,HQL086_sleep250912
HQL086_sleep250912_006_eye_49207,HQL086_sleep250912
HQL086_whiskerb250923_002_eye_06913,HQL086_whiskerb250923
HQL086_whiskerb250923_002_eye_23630,HQL086_whiskerb250923
HQL086_whiskerb250923_002_eye_48481,HQL086_whiskerb250923
HQL086_whiskerb250923_002_eye_49500,HQL086_whiskerb250923
HQL086_whiskerb250923_002_eye_50229,HQL086_whiskerb250923
HQL086_whiskerb250923_002_eye_52440,HQL086_whiskerb250923
HQL086_whiskerb250923_005_eye_11197,HQL086_whiskerb250923
HQL086_whiskerb250923_005_eye_34830,HQL086_whiskerb250923
HQL086_whiskerb250923_005_eye_46658,HQL086_whiskerb250923
HQL086_whiskerb250923_008_eye_25046,HQL086_whiskerb250923
HQL086_whiskerb250923_008_eye_50170,HQL086_whiskerb250923
HQL086_whiskerb250923_008_eye_53378,HQL086_whiskerb250923
HQL088_sleep250929_005_eye_04234,HQL088_sleep250929
HQL088_whiskerb251006_008_eye_55068,HQL088_whiskerb251006
HQL090_sleep251012_003_eye_44690,HQL090_sleep251012
HQL090_sleep251012_003_eye_57774,HQL090_sleep251012
HQL090_sleep251012_010_eye_02063,HQL090_sleep251012
HQL090_sleep251012_010_eye_06107,HQL090_sleep251012
HQL090_sleep251012_010_eye_06588,HQL090_sleep251012
HQL090_sleep251012_010_eye_06771,HQL090_sleep251012
HQL090_sleep251012_010_eye_06814,HQL090_sleep251012
HQL090_sleep251012_010_eye_18921,HQL090_sleep251012
HQL090_sleep251012_010_eye_40713,HQL090_sleep251012
HQL090_sleep251012_010_eye_43251,HQL090_sleep251012
HQL090_sleep251012_010_eye_44600,HQL090_sleep251012
HQL090_sleep251012_010_eye_48537,HQL090_sleep251012
HQL090_sleep251012_010_eye_49052,HQL090_sleep251012
HQL090_whiskerb251020_006_eye_04826,HQL090_whiskerb251020
HQL090_whiskerb251020_006_eye_18617,HQL090_whiskerb251020
HQL090_whiskerb251020_006_eye_31417,HQL090_whiskerb251020
HQL090_whiskerb251020_009_eye_06680,HQL090_whiskerb251020
HQL090_whiskerb251020_009_eye_15701,HQL090_whiskerb251020
HQL090_whiskerb251020_009_eye_23351,HQL090_whiskerb251020
HQL090_whiskerb251020_009_eye_26054,HQL090_whiskerb251020
HQL090_whiskerb251020_009_eye_32392,HQL090_whiskerb251020
HQL090_whiskerb251020_009_eye_34487,HQL090_whiskerb251020
HQL090_whiskerb251020_009_eye_36717,HQL090_whiskerb251020
HQL090_whiskerb251020_009_eye_36785,HQL090_whiskerb251020
HQL090_whiskerb251020_009_eye_43780,HQL090_whiskerb251020
HQL090_whiskerb251020_009_eye_46355,HQL090_whiskerb251020
HQL090_whiskerb251020_009_eye_52558,HQL090_whiskerb251020
HQL090_whiskerb251020_009_eye_57908,HQL090_whiskerb251020
